category,n,mean_shap,median_shap,mean_abs_shap,direction
261.0,11,0.04138066373932556,0.06147982049810306,0.04681067033852029,higher_exit_risk
753.0,26,0.04060209143703572,0.040502813117357817,0.042133670419068195,higher_exit_risk
827.0,10,0.04047279972719356,0.021153271703216417,0.043852267895523225,higher_exit_risk
237.0,33,0.039284615794663295,0.06980882378417771,0.05458686460388748,higher_exit_risk
613.0,3,0.039165055756124834,0.07463727080131016,0.0900607026793775,higher_exit_risk
220.0,22,0.0389374767215896,0.06975182315133846,0.05598050686726766,higher_exit_risk
911.0,262,0.038218937295277686,0.02412824035663982,0.04388090984966725,higher_exit_risk
752.0,5,0.03519745060186109,0.009710957630742735,0.051492677254645014,higher_exit_risk
714.0,26,0.034808199155716896,0.01624262848089031,0.03736642811248852,higher_exit_risk
314.0,64,0.03428641219350262,0.011535933472295947,0.039585548305368576,higher_exit_risk
913.0,64,0.03415238196388898,0.018547526570331332,0.042213111128586445,higher_exit_risk
318.0,8,0.03404417184022601,0.014385858634082135,0.03404417184022601,higher_exit_risk
272.0,7,0.03328375821049946,0.019625478252627837,0.03328375821049946,higher_exit_risk
912.0,102,0.032403211953708946,0.02481036086272817,0.04128906830170578,higher_exit_risk
511.0,28,0.03229401319922193,0.018282339211011293,0.032621080626124184,higher_exit_risk
262.0,105,0.031496184514979084,0.008909023311743683,0.03931970574059237,higher_exit_risk
941.0,84,0.030565121139765044,0.017637278275796395,0.03115827567268839,higher_exit_risk
235.0,25,0.029965664468474235,-0.00497811735496451,0.04804890616349114,higher_exit_risk
312.0,82,0.029618434023853675,0.00250458413745117,0.05255278877170578,higher_exit_risk
842.0,113,0.02878967140601288,0.012651597169723703,0.03481417163084708,higher_exit_risk
821.0,53,0.02690631512304428,-0.0005648998148565188,0.03998572855019309,higher_exit_risk
825.0,21,0.026024909338422435,0.015632417949673523,0.029429667820940364,higher_exit_risk
712.0,75,0.02483447661917307,0.0017065006550830285,0.03526238265550018,higher_exit_risk
829.0,59,0.021447147411436975,-0.001919404421445009,0.04262482115550849,higher_exit_risk
143.0,87,0.02059632731530888,0.018698371075162038,0.02147366757685564,higher_exit_risk
630.0,4,0.02017306528500425,0.012174567307648515,0.04098259114379572,higher_exit_risk
311.0,196,0.01966860366302187,-0.0002140714784105123,0.03453994310472803,higher_exit_risk
833.0,15,0.019650692690679594,-0.00284199007659652,0.040706237315801655,higher_exit_risk
713.0,81,0.01914143293068254,0.001861649480602303,0.027926161984457933,higher_exit_risk
611.0,2,0.017945792238238445,0.017945792238238445,0.032132536720395004,higher_exit_risk
721.0,50,0.01769505891231567,0.007540369444690564,0.023910850377895504,higher_exit_risk
816.0,19,0.01750412948091351,-0.00819266053021477,0.04966586858681771,higher_exit_risk
315.0,193,0.017407385533238517,-0.004035687254427335,0.03506184922135174,higher_exit_risk
900.0,2,0.015769341086471333,0.015769341086471333,0.015769341086471333,higher_exit_risk
234.0,18,0.014252500060881714,-0.008441948319922336,0.04051636490540133,higher_exit_risk
754.0,2,0.014053799637256984,0.014053799637256984,0.014053799637256984,higher_exit_risk
