model,group_col,group_value,n,event_rate,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
logistic,firm_size_group,2+-person,26633,0.08801111403146472,0.7013518036578027,0.17001884879394696,0.24593424593424593,0.16548592090470907,0.23976109215017063,2.3969809186319426,0.3984641638225256,1.9921712173991597
random_forest,age_group,15-24,604,0.2251655629139073,0.6298391151332327,0.32986451009377415,0.37714285714285717,0.22506215550209357,0.19117647058823528,1.8929604628736738,0.3235294117647059,1.6149732620320856
random_forest,age_group,25-54,17242,0.06431968449135832,0.7510188778501876,0.17052891352330946,0.12745098039215685,0.08029221122719296,0.31650135256988277,3.163545693339083,0.49594229035166815,2.479280072555367
random_forest,age_group,55-64,5141,0.09103287298191014,0.6637722431644965,0.1741378845152637,0.08058608058608059,0.11953653366470929,0.23076923076923078,2.303659447348768,0.36324786324786323,1.8148272740109475
random_forest,age_group,65+,4076,0.16732090284592738,0.5729279891891332,0.20285921310464639,0.22274143302180685,0.19249088288812527,0.13929618768328444,1.3915962279339888,0.2697947214076246,1.3476510838939681
random_forest,weekly_hours_group,1-19,451,0.19290465631929046,0.6622458001768348,0.31102139725070843,0.3805668016194332,0.22075568071990614,0.20689655172413793,2.028485757121439,0.3563218390804598,1.76594669698118
random_forest,weekly_hours_group,20-29,435,0.16091954022988506,0.6437964774951076,0.24141518079701352,0.14678899082568808,0.17213438884873186,0.14285714285714285,1.4123376623376622,0.3142857142857143,1.5714285714285716
random_forest,weekly_hours_group,30-34,384,0.109375,0.6052631578947368,0.15091849595733942,0.06896551724137931,0.13915351585672878,0.16666666666666666,1.641025641025641,0.2857142857142857,1.424860853432282
random_forest,weekly_hours_group,35-39,141,0.0851063829787234,0.5943152454780362,0.1676610502196011,0.23529411764705882,0.13127698712691846,0.25,2.35,0.25,1.2155172413793103
random_forest,weekly_hours_group,40+,1529,0.08960104643557881,0.6501122157899153,0.1582124397760666,0.027210884353741496,0.1044454301839024,0.22627737226277372,2.2612947855541243,0.36496350364963503,1.8236248270597777
random_forest,weekly_hours_group,nan,24123,0.08485677569124901,0.7385048258478749,0.19163923547654305,0.17227722772277226,0.10419038539758126,0.26673180263800683,2.6665442499115786,0.4509037616023449,2.254331904898107
random_forest,firm_size_group,1-person,430,0.1186046511627907,0.652335868384293,0.20565542487035762,0.17073170731707318,0.16261307131902417,0.17647058823529413,1.7647058823529411,0.3137254901960784,1.5686274509803921
random_forest,firm_size_group,2+-person,26633,0.08801111403146472,0.7330381159633913,0.19453746934772487,0.17867271695972772,0.10699291801365277,0.26535836177474403,2.6528863547848194,0.44197952218430037,2.2097316715476762
xgboost,age_group,15-24,604,0.2251655629139073,0.6332484917043741,0.34949252943142484,0.23204419889502761,0.17028979090150806,0.18382352941176472,1.8201542912246866,0.3382352941176471,1.6883811375789985
xgboost,age_group,25-54,17242,0.06431968449135832,0.7535749803384257,0.16991889784598074,0.0017889087656529517,0.056852574937385845,0.30297565374211,3.028351432939977,0.49864743011722273,2.492803418405669
