model,calibration_method,threshold_rule,selected_threshold,valid_f1,valid_precision,valid_recall,valid_positive_prediction_rate,test_f1,test_precision,test_recall,test_positive_prediction_rate
logistic,isotonic,top20_valid_cutoff,0.1572212065813528,0.274820500123793,0.2027027027027027,0.4265949269792467,0.2109317822888178,0.2427273923917335,0.1772395232602845,0.3849686847599164,0.1922181576321915
random_forest,raw,default_0.5,0.5,0.2148165907456245,0.2855321861057999,0.1721752498078401,0.0604368090597434,0.1784922394678492,0.2654575432811212,0.134446764091858,0.0448213427927428
random_forest,raw,best_f1_valid,0.3360968994601989,0.2849424712356178,0.1926146354659813,0.547271329746349,0.2847733138168791,0.2709419727060912,0.184496826835902,0.509812108559499,0.244540516572442
random_forest,raw,top10_valid_cutoff,0.4486730738288725,0.2546643585304866,0.254909510974201,0.2544196771714066,0.1000346673856939,0.229732714822178,0.2439024390243902,0.2171189979123173,0.0787791449580608
random_forest,raw,top20_valid_cutoff,0.3764848018658501,0.2814624759461193,0.2112459079530136,0.4215987701767871,0.2000308154539501,0.269499417927823,0.2068349341076613,0.3866388308977035,0.1654288142482356
random_forest,platt,default_0.5,0.5,0.0128012048192771,0.3148148148148148,0.006533435818601,0.0020800431416355,0.0123304562268803,0.3947368421052631,0.0062630480167014,0.0014041311015038
random_forest,platt,best_f1_valid,0.1150663764098708,0.2849424712356178,0.1926146354659813,0.547271329746349,0.2847733138168791,0.2709419727060912,0.184496826835902,0.509812108559499,0.244540516572442
random_forest,platt,top10_valid_cutoff,0.1898536974601922,0.2546643585304866,0.254909510974201,0.2544196771714066,0.1000346673856939,0.229732714822178,0.2439024390243902,0.2171189979123173,0.0787791449580608
random_forest,platt,top20_valid_cutoff,0.1383958062198843,0.2814624759461193,0.2112459079530136,0.4215987701767871,0.2000308154539501,0.269499417927823,0.2068349341076613,0.3866388308977035,0.1654288142482356
random_forest,isotonic,default_0.5,0.5,0.0038343558282208,0.8333333333333334,0.0019215987701767,0.0002311159046261,0.0016666666666666,0.4,0.0008350730688935,0.0001847540923031
random_forest,isotonic,best_f1_valid,0.1443736730360934,0.2849424712356178,0.1926146354659813,0.547271329746349,0.2847733138168791,0.2709419727060912,0.184496826835902,0.509812108559499,0.244540516572442
random_forest,isotonic,top10_valid_cutoff,0.1914893617021276,0.2612579084480834,0.2532467532467532,0.2697924673328209,0.1067755479372905,0.2328154926580123,0.2374131944444444,0.2283924843423799,0.0851346857332889
random_forest,isotonic,top20_valid_cutoff,0.1520935960591132,0.2838967194711239,0.2101569713758079,0.4373558800922367,0.2085821039251184,0.2719298245614035,0.2056494757115343,0.4012526096033403,0.1726711746665188
xgboost,raw,default_0.5,0.5,0.0179439252336448,0.3287671232876712,0.0092236740968485,0.0028119101729517,0.0186991869918699,0.3538461538461538,0.0096033402922755,0.0024018031999408
xgboost,raw,best_f1_valid,0.13728513,0.2896476964769647,0.2017212743469726,0.5134511913912375,0.255113439389854,0.2708419742845292,0.1801627810732514,0.5453027139874739,0.2678564830210989
xgboost,raw,top10_valid_cutoff,0.2099968,0.2546643585304866,0.254909510974201,0.2544196771714066,0.1000346673856939,0.2389937106918239,0.2257705161529892,0.2538622129436326,0.0995085541144736
xgboost,raw,top20_valid_cutoff,0.15610461,0.281975625400898,0.211631041787021,0.4223674096848578,0.2000308154539501,0.2677657050081179,0.1910192444761226,0.4475991649269311,0.2073679932010494
xgboost,platt,default_0.5,0.5,0.038615664845173,0.3706293706293706,0.0203689469638739,0.0055082623935903,0.034181240063593,0.3553719008264462,0.0179540709812108,0.004471049033736
xgboost,platt,best_f1_valid,0.1103805011223919,0.2896476964769647,0.2017212743469726,0.5134511913912375,0.255113439389854,0.2708419742845292,0.1801627810732514,0.5453027139874739,0.2678564830210989
xgboost,platt,top10_valid_cutoff,0.1683130463439587,0.2546643585304866,0.254909510974201,0.2544196771714066,0.1000346673856939,0.2389937106918239,0.2257705161529892,0.2538622129436326,0.0995085541144736
xgboost,platt,top20_valid_cutoff,0.1234414851579513,0.281975625400898,0.211631041787021,0.4223674096848578,0.2000308154539501,0.2677657050081179,0.1910192444761226,0.4475991649269311,0.2073679932010494
xgboost,isotonic,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,isotonic,best_f1_valid,0.1512027491408934,0.2896476964769647,0.2017212743469726,0.5134511913912375,0.255113439389854,0.2708419742845292,0.1801627810732514,0.5453027139874739,0.2678564830210989
xgboost,isotonic,top10_valid_cutoff,0.1777509068923821,0.2679425837320574,0.2412307692307692,0.3013066871637202,0.1251877816725087,0.25,0.2137563000296472,0.3010438413361169,0.1246351106677012
xgboost,isotonic,top20_valid_cutoff,0.1679999999999999,0.2883141762452107,0.209391304347826,0.4627209838585703,0.2214860752667462,0.2700822997565781,0.1869383825417201,0.4864300626304801,0.2302775006466393
catboost,raw,default_0.5,0.5,0.018811136192626,0.4464285714285714,0.0096079938508839,0.0021570817765109,0.0156057494866529,0.475,0.0079331941544885,0.0014780327384251
catboost,raw,best_f1_valid,0.1357591026446794,0.2867054382205897,0.1951659952771218,0.5399692544196771,0.2773005662339663,0.2725873818421631,0.1849917947187826,0.5177453027139874,0.2476813361415955
catboost,raw,top10_valid_cutoff,0.2139858064607911,0.2608193883439123,0.2610704659222179,0.2605687932359723,0.1000346673856939,0.2412550349798601,0.2450473729543497,0.2375782881002087,0.0857998004655803
catboost,raw,top20_valid_cutoff,0.1604511067830052,0.2809493264913406,0.2108607741190063,0.4208301306687164,0.2000308154539501,0.268467707893626,0.2024617996604414,0.3983298538622129,0.1741122565864833
catboost,platt,default_0.5,0.5,0.0387143900657414,0.3897058823529412,0.0203689469638739,0.0052386271715265,0.0343725019984012,0.4018691588785046,0.0179540709812108,0.0039537375752872
catboost,platt,best_f1_valid,0.1050149149700489,0.2867054382205897,0.1951659952771218,0.5399692544196771,0.2773005662339663,0.2725873818421631,0.1849917947187826,0.5177453027139874,0.2476813361415955
